Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Latitude;Longitude;Nom communes équipées
15109;Cevennes - Bergers;SANN;29;26;0;0;0;SANN;SANN;2022-10-05;48,84240765;2,281037718;Paris
22406;Guy Môquet - Etienne Dolet;SANN;23;16;7;2;5;SANN;SANN;2022-10-05;48,8152701;2,298078277;Malakoff
14012;Sibelle - Alésia;SANN;25;22;1;1;0;SANN;SANN;2022-10-05;48,82670176;2,338498347;Paris
35002;Jean Jaurès - Presles;SANN;30;18;10;6;4;SANN;SANN;2022-10-05;48,90713441;2,396005728;Pantin
15110;Place Robert Guillemard;SANN;24;8;16;12;4;SANN;SANN;2022-10-05;48,83619173;2,281126716;Paris
8054;Bertie Albrecht - Hoche;SANN;32;3;29;15;14;SANN;SANN;2022-10-05;48,8761404;2,301303138;Paris
20131;Repos - Cimetière du Père Lachaise;SANN;33;30;1;1;0;SANN;SANN;2022-10-05;48,85935852;2,389613137;Paris
21209;Molière - République;SANN;30;29;1;1;0;SANN;SANN;2022-10-05;48,81111581;2,314573862;Montrouge
31008;François Debergue - Croix de Chavaux;SANN;57;50;7;4;3;SANN;SANN;2022-10-05;48,85742171;2,437578142;Montreuil
18022;Marcadet - Barbès;SANN;37;28;3;2;1;SANN;SANN;2022-10-05;48,89045112;2,349057393;Paris
15034;Lakanal - Commerce;SANN;53;39;12;12;0;SANN;SANN;2022-10-05;48,84442463;2,294059172;Paris
35010;Hoche - Jean Lolive;SANN;24;18;4;2;2;SANN;SANN;2022-10-05;48,89110239;2,402843535;Pantin
22203;Tertres - Fontaine;SANN;28;27;1;1;0;SANN;SANN;2022-10-05;48,78755365;2,306235731;Bagneux
21005;Hôtel de Ville de Boulogne Billancourt;SANN;26;20;6;2;4;SANN;SANN;2022-10-05;48,83495885;2,241680324;Boulogne-Billancourt
41202;Gare Rer de Fontenay sous Bois;SANN;61;59;2;1;1;SANN;SANN;2022-10-05;48,8436279;2,4630465;Fontenay-sous-Bois
14124;David Weill - Parc Montsouris;SANN;22;19;2;0;2;SANN;SANN;2022-10-05;48,82109237;2,333725691;Paris
42021;Raspail - Manufacture des Oeillets;SANN;32;7;24;15;9;SANN;SANN;2022-10-05;48,8094458;2,3903009;Ivry-sur-Seine
15133;Saint Lambert - Blomet;SANN;27;24;1;0;1;SANN;SANN;2022-10-05;48,83659148;2,293055691;Paris
35020;Marcelle - Thalie;SANN;20;15;2;0;2;SANN;SANN;2022-10-05;48,8835462;2,4137883;Pantin
21006;Marcelin Berthelot;SANN;27;25;2;0;2;SANN;SANN;2022-10-05;48,84154731;2,233161628;Boulogne-Billancourt
20115;Louis Lumière - Porte de Bagnolet;SANN;20;19;1;0;1;SANN;SANN;2022-10-05;48,86431136;2,410521023;Paris
44013;Edouard Tremblay - Julian Grimaux;SANN;30;14;15;8;7;SANN;SANN;2022-10-05;48,78138383;2,372350842;Vitry-sur-Seine
22402;Jean Jaurès - Salvador Allende;SANN;43;40;3;2;1;SANN;SANN;2022-10-05;48,82147559;2,302657664;Malakoff
21015;Nationale - Place Jules Guesde;SANN;23;9;13;9;4;SANN;SANN;2022-10-05;48,82753962;2,241605222;Boulogne-Billancourt
21008;Victor Hugo - Galliéni;SANN;34;23;8;4;4;SANN;SANN;2022-10-05;48,83802015;2,246084511;Boulogne-Billancourt
44003;Gabriel Péri - Danielle Casanova;SANN;20;4;15;11;4;SANN;SANN;2022-10-05;48,790114;2,4025777;Vitry-sur-Seine
11039;Richard Lenoir - Jean-Pierre Timbaud;SANN;36;27;4;3;1;SANN;SANN;2022-10-05;48,86580428;2,369337075;Paris
41404;Carnot - Pâquerettes;SANN;26;13;12;7;5;SANN;SANN;2022-10-05;48,79592939;2,426184118;Alfortville
17013;Legendre - Dulong;SANN;23;20;1;1;0;SANN;SANN;2022-10-05;48,88532517;2,316423766;Paris
48010;Karl Marx;SANN;16;15;1;0;1;SANN;SANN;2022-10-05;48,78452794;2,364666798;Villejuif
17031;Place de la Porte de Champerret;SANN;28;23;5;3;2;SANN;SANN;2022-10-05;48,88561742;2,290781411;Paris
5106;Cujas - Saint-Michel;SANN;19;2;16;6;10;SANN;SANN;2022-10-05;48,84819135;2,341831655;Paris
11026;Chemin Vert - Saint-Maur;SANN;45;39;4;3;1;SANN;SANN;2022-10-05;48,86112461;2,381299026;Paris
